# SCM estimates of mRNA and protein levels, log-transformed and unscaled, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# sd.mrna = Standard deviation on estimates of log-transformed mRNA levels (mRNA lower bound = exp(log(mrna)-sd.mrna)), mRNA upper bound = exp(log(mrna)+sd.mrna)))
# sd.prot = Standard deviation on estimates of log-transformed protein levels (protein lower bound = exp(log(prot)-sd.prot)), protein upper bound = exp(log(prot)+sd.prot)))
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	sd.mrna	sd.prot	n.mrna	n.prot
YBR065C	ECM2	-0.446821	-0.102538	0.244	0.302	9	3
YBR066C	NRG2	-0.301111	-0.448622	0.240	0.297	10	1
YBR067C	TIP1	1.576924	1.288706	0.236	0.232	11	2
YBR068C	BAP2	1.224153	1.389438	0.239	0.240	12	5
YBR069C	TAT1	0.748766	0.795275	0.246	0.224	11	4
YBR070C	ALG14	0.043928	0.092172	0.255	0.218	11	3
YBR071W		0.178203	-0.025836	0.253	0.285	12	3
YBR072C-A		-2.599885	-2.518335	0.397	0.541	4	0
YBR072W	HSP26	0.104506	0.515331	0.254	0.240	10	8
YBR073W	RDH54	0.423790	0.206940	0.230	0.208	12	6
YBR074W	PFF1	-0.098466	-0.184560	0.260	0.366	10	3
YBR076W	ECM8	-1.321725	-1.492764	0.281	0.414	8	0
YBR077C	SLM4	0.416073	0.583323	0.266	0.238	11	5
YBR078W	ECM33	1.739027	1.151765	0.293	0.311	12	6
YBR079C	RPG1	1.298578	1.747467	0.251	0.221	12	8
YBR080C	SEC18	0.426267	0.821512	0.264	0.268	10	8
YBR081C	SPT7	-0.107838	0.140857	0.253	0.225	10	4
YBR082C	UBC4	1.924918	1.590547	0.252	0.253	12	7
YBR083W	TEC1	0.177752	-0.085714	0.268	0.259	11	3
YBR084C-A	RPL19A	2.199695	1.975998	0.253	0.197	10	5
YBR084W	MIS1	1.047799	1.009199	0.239	0.229	12	8
YBR085C-A		-0.320354	0.540887	0.282	0.270	4	5
YBR085W	AAC3	-0.142615	-0.014549	0.235	0.283	11	3
YBR086C	IST2	0.926321	0.656717	0.251	0.243	12	6
YBR087W	RFC5	0.355576	0.434489	0.242	0.235	12	8
YBR088C	POL30	0.792427	0.520098	0.303	0.350	11	6
YBR089C-A	NHP6B	-0.251902	0.636994	0.287	0.246	4	6
YBR090C		0.230458	0.612987	0.256	0.247	9	1
YBR091C	TIM12	-0.039416	-0.253376	0.274	0.350	11	2
YBR092C	PHO3	0.894198	0.485034	0.259	0.256	11	7
YBR093C	PHO5	0.500659	0.274255	0.239	0.277	12	5
YBR094W	PBY1	-0.061820	0.104631	0.227	0.236	11	4
YBR095C	RXT2	-0.013462	0.131686	0.248	0.213	11	5
YBR096W		0.599779	0.396504	0.302	0.311	11	5
YBR097W	VPS15	-0.621456	-0.621298	0.249	0.310	11	4
YBR098W	MMS4	-0.884869	-0.833946	0.284	0.351	8	1
YBR101C	FES1	1.028673	1.241437	0.254	0.224	11	8
YBR102C	EXO84	-0.352412	-0.090086	0.250	0.248	10	3
