SystematicName,40 fL,45 fL,50 fL,55 fL,60 fL,65 fL,70 fL,75 fL,Gene
YBL047C,-0.123393454,-0.164025819,0.078313597,0.220387493,-0.31772294,-0.149553954,0.1549904,0.203307663,EDE1
YBL048W,0.272151532,-0.006886189,-0.140163386,-0.004243284,0.242693707,-0.370921389,0.189432865,-0.329393065,NA
YBL049W,0.809047131,0.300628999,0.351329383,0.229083855,-0.110502751,-0.801817233,-0.951480003,-0.858709282,MOH1
YBL050W,0.287915417,0.251102891,0.16900977,-0.301289091,-0.07323423,-0.085431137,-0.086615503,-0.289019724,SEC17
YBL051C,-0.459478643,-0.424725541,-0.12160332,0.097804153,-0.228612975,-0.142628824,0.52622555,0.421137699,PIN4
YBL052C,-1.198868472,-0.942112513,-0.277965254,0.142968988,0.27610051,0.386094028,0.404767075,0.348619323,SAS3
YBL053W,-2.821658657,-1.125001819,-0.290841443,0.188235459,0.37435481,0.436611666,0.201889275,0.716658254,NA
YBL054W,0.586111321,0.614581464,0.25982866,-0.359388948,-0.513765019,-0.631799807,-0.799768612,0.098494807,TOD6
YBL055C,0.83004496,0.295338691,-0.443499317,-0.556056484,-0.202306883,0.175197702,-0.416520166,-0.265222877,NA
YBL056W,0.857883035,-0.093894206,-0.341077501,-0.272071888,0.05171718,-0.291435558,0.174022482,-0.618681576,PTC3
YBL057C,0.529517762,0.022864818,-0.029466646,0.022154131,-0.252370796,-0.231739173,-0.316097318,0.071705339,PTH2
YBL058W,0.347309729,0.149424326,-0.024314676,-0.089771554,-0.31644928,-0.133249048,-0.126679719,0.09081461,SHP1
YBL059C-A,-0.900791043,-0.666783847,-0.102740864,-0.27894438,0.467316516,0.358113472,0.455472692,0.061465841,CMC2
YBL059W,-1.066885252,-0.513006027,0.218345961,-0.10062089,0.378126405,0.2203967,0.243436942,0.107478815,NA
YBL060W,0.317369487,-0.356869133,0.160796212,-0.13198553700000001,0.026876569,0.029650256,-0.398970216,0.194893318,YEL1
YBL061C,0.6698553,0.105177969,-0.026042383,-0.095542119,-0.222984278,-0.392590557,-0.403386529,0.057686045,SKT5
YBL062W,-0.75340417,0.260811148,0.180367125,-0.148980449,0.12105142,0.010335008,-0.088693676,0.187128496,NA
